Subject,Body,Attachment,Label
Quick question,Can you send me the slides from the presentation?,Yes,ham
Feature request,I can't find the setting to change my email.,No,support
Can we reschedule?,Let's grab dinner tonight at that new place.,Yes,ham
Secure your account now,Please update your payment information to avoid service interruption.,Yes,phishing
Quick question,Just wanted to check in and see how you're doing.,Yes,ham
Where is my order?,I have a question about my recent invoice.,No,support
Casino bonus,You have been selected for a special offer.,Yes,spam
Verify your account,Please update your payment information to avoid service interruption.,Yes,phishing
Verify your account,"To unlock your account, please sign in here.",Yes,phishing
Unable to access account,Can you please help me reset my password?,Yes,support
Unusual sign-in activity,Please confirm your recent transaction.,Yes,phishing
Free gift card,Buy now and save 50%.,No,spam
Verify your email address,We need to verify your information for security purposes.,Yes,phishing
Bank account alert,Please confirm your recent transaction.,No,phishing
Change email address,Please assist me with unlocking my account.,No,support
Win a free iPhone,Click here to claim your prize today.,Yes,spam
Get rich quick,Click here to claim your prize today.,No,spam
Limited time offer,Guaranteed returns on your investment.,Yes,spam
Contact support,I would like to request a refund for my last purchase.,No,support
Payment failed,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Can we reschedule?,Here are some photos from my trip.,Yes,ham
Quick question,Attached is the latest version of the project report.,Yes,ham
Security Alert,Click the link below to reset your password.,Yes,phishing
Claim your reward now,Sign up today and get a free trial.,No,spam
Password reset help,I can't find the setting to change my email.,No,support
Get rich quick,Sign up today and get a free trial.,Yes,spam
Change email address,I can't find the setting to change my email.,Yes,support
Check your recent transaction,"To unlock your account, please sign in here.",No,phishing
Final warning,"To unlock your account, please sign in here.",No,phishing
Weekend plans,Attached is the latest version of the project report.,Yes,ham
Make money from home,No credit check required.,No,spam
Lottery winner,"Limited stock available, order now.",Yes,spam
Suspicious activity detected,Please confirm your recent transaction.,Yes,phishing
Investment opportunity,Don't miss out on this amazing opportunity.,Yes,spam
Secure your account now,Your account will be suspended if you do not verify your details.,Yes,phishing
Invoice discrepancy,I have a question about my recent invoice.,No,support
Quick question,Here are some photos from my trip.,Yes,ham
Checking in,Let's grab dinner tonight at that new place.,Yes,ham
Act now!,Buy now and save 50%.,Yes,spam
Limited time offer,Sign up today and get a free trial.,Yes,spam
Login to view message,"To unlock your account, please sign in here.",Yes,phishing
Password expiration notice,Your account will be suspended if you do not verify your details.,No,phishing
Follow up,Are you free this weekend for a hike?,Yes,ham
Confirm your identity,We need to verify your information for security purposes.,No,phishing
Meet singles near you,Sign up today and get a free trial.,No,spam
Error message on login,Can you please help me reset my password?,Yes,support
Important security update,Please update your payment information to avoid service interruption.,Yes,phishing
Confirm your identity,We need to verify your information for security purposes.,No,phishing
Login to view message,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Vacation photos,Are you free this weekend for a hike?,Yes,ham
Urgent: Account compromised,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Verify your account,Someone tried to log in to your account from a new device.,Yes,phishing
Login problems,The app keeps crashing on my phone.,No,support
Draft report,Attached is the latest version of the project report.,Yes,ham
Reminder: Doctor's appointment,Just wanted to check in and see how you're doing.,Yes,ham
Invitation,Just confirming we’re still on for lunch at 12:30.,No,ham
Presentation slides,Do you have a minute to chat?,Yes,ham
Congratulations! You are a winner,Buy now and save 50%.,No,spam
Lunch tomorrow,Here are some photos from my trip.,Yes,ham
Your account will be locked,Failure to respond will result in account termination.,Yes,phishing
Order status inquiry,Please assist me with unlocking my account.,Yes,support
Lose weight fast,"Limited stock available, order now.",Yes,spam
Error message on login,Please assist me with unlocking my account.,Yes,support
Team outing,Are you free this weekend for a hike?,No,ham
Win a free iPhone,Buy now and save 50%.,Yes,spam
Weekend plans,Let's grab dinner tonight at that new place.,Yes,ham
Action required immediately,Someone tried to log in to your account from a new device.,No,phishing
You won a prize!,Reply to this email to claim your gift.,No,spam
Draft report,Just confirming we’re still on for lunch at 12:30.,Yes,ham
App crashing,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Verify your email address,Failure to respond will result in account termination.,Yes,phishing
Dinner tonight?,Do you have a minute to chat?,Yes,ham
Investment opportunity,"Limited stock available, order now.",No,spam
Coffee break,Here are some photos from my trip.,Yes,ham
Check your recent transaction,Please confirm your recent transaction.,Yes,phishing
Best deals of the year,Reply to this email to claim your gift.,No,spam
Meet singles near you,This is your chance to change your life.,No,spam
Verify your account,Someone tried to log in to your account from a new device.,No,phishing
Feature request,I can't find the setting to change my email.,Yes,support
Account locked,My order hasn't arrived yet. Can you check the status?,No,support
Final warning,Please update your payment information to avoid service interruption.,No,phishing
Invoice discrepancy,How do I update my billing information?,No,support
Free gift card,Guaranteed returns on your investment.,No,spam
Team outing,Can you send me the slides from the presentation?,No,ham
Meeting notes,Let's grab dinner tonight at that new place.,Yes,ham
Casino bonus,Sign up today and get a free trial.,No,spam
Make money from home,You have been selected for a special offer.,Yes,spam
Your account will be locked,Someone tried to log in to your account from a new device.,No,phishing
Unauthorized login attempt,We need to verify your information for security purposes.,No,phishing
Account locked,I have a question about my recent invoice.,Yes,support
Feature request,I would like to request a refund for my last purchase.,No,support
Can we reschedule?,Just confirming we’re still on for lunch at 12:30.,No,ham
Can we reschedule?,Do you have a minute to chat?,No,ham
You won a prize!,Buy now and save 50%.,Yes,spam
Bank account alert,We detected unusual activity. Verify your identity immediately.,Yes,phishing
App crashing,How do I update my billing information?,Yes,support
Refund request,I have a question about my recent invoice.,Yes,support
Action required immediately,Click the link below to reset your password.,No,phishing
Make money from home,No credit check required.,No,spam
Important security update,Please update your payment information to avoid service interruption.,Yes,phishing
Weekend plans,Just confirming we’re still on for lunch at 12:30.,No,ham
Subscription renewal,I can't find the setting to change my email.,Yes,support
Cheap meds online,Buy now and save 50%.,No,spam
Password reset help,Can you please help me reset my password?,No,support
Update your payment info,"To unlock your account, please sign in here.",Yes,phishing
Free gift card,Don't miss out on this amazing opportunity.,Yes,spam
Password expiration notice,We detected unusual activity. Verify your identity immediately.,No,phishing
Billing question,I'm getting an error message when I try to pay.,Yes,support
Your lucky day,Buy now and save 50%.,Yes,spam
Change email address,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Help needed,I would like to request a refund for my last purchase.,No,support
Claim your reward now,You have been selected for a special offer.,Yes,spam
Lose weight fast,No credit check required.,No,spam
Password reset help,I'm getting an error message when I try to pay.,Yes,support
Need assistance with setup,I'm getting an error message when I try to pay.,Yes,support
Action required immediately,Your account will be suspended if you do not verify your details.,No,phishing
Your account will be locked,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Password reset help,Can you please help me reset my password?,No,support
Important security update,Click the link below to reset your password.,Yes,phishing
Where is my order?,The app keeps crashing on my phone.,No,support
Meet singles near you,Reply to this email to claim your gift.,Yes,spam
Where is my order?,My order hasn't arrived yet. Can you check the status?,Yes,support
Confirm your identity,Please confirm your recent transaction.,No,phishing
Verify your email address,Please update your payment information to avoid service interruption.,No,phishing
Lowest prices guaranteed,Click here to claim your prize today.,Yes,spam
Suspicious activity detected,Your account will be suspended if you do not verify your details.,No,phishing
App crashing,I'm getting an error message when I try to pay.,No,support
Confirm your identity,Your account has been compromised. Please click the link to secure it.,Yes,phishing
You won a prize!,Reply to this email to claim your gift.,Yes,spam
Your account will be locked,Please confirm your recent transaction.,No,phishing
Presentation slides,Just confirming we’re still on for lunch at 12:30.,No,ham
Checking in,Are you free this weekend for a hike?,No,ham
Reminder: Doctor's appointment,Are you free this weekend for a hike?,Yes,ham
Project update,Here are the notes from today's meeting.,No,ham
Your account will be locked,Please update your payment information to avoid service interruption.,Yes,phishing
Lunch tomorrow,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Get rich quick,You have been selected for a special offer.,No,spam
Where is my order?,How do I update my billing information?,No,support
Verify your email address,Your account has been compromised. Please click the link to secure it.,No,phishing
